 Episode : 2 | Reward -> 294.0563113405821 | Max reward : 358.8583236076816 | Time : 4.4011900424957275'
 Episode : 4 | Reward -> 322.97499498481125 | Max reward : 413.2297327866885 | Time : 4.479661464691162'
 Episode : 6 | Reward -> 650.3691203072356 | Max reward : 1028.3710586405407 | Time : 4.486453056335449'
 Episode : 8 | Reward -> 483.52712622712744 | Max reward : 613.7408237293234 | Time : 4.5306923389434814'
 Episode : 10 | Reward -> 897.2805650861172 | Max reward : 1326.6841891680265 | Time : 4.447112321853638'
 Episode : 12 | Reward -> 335.4649045921674 | Max reward : 393.03934249501816 | Time : 4.418893575668335'
 Episode : 14 | Reward -> 1254.784835398244 | Max reward : 2186.9356466377135 | Time : 3.1512951850891113'
 Episode : 16 | Reward -> 392.94653717096935 | Max reward : 560.7265030438707 | Time : 4.461499929428101'
 Episode : 18 | Reward -> 689.1950379225586 | Max reward : 854.7956593165793 | Time : 2.4671850204467773'
 Episode : 20 | Reward -> 875.2278739512748 | Max reward : 1173.8140463327704 | Time : 2.440471887588501'
 Episode : 22 | Reward -> 1210.4559846807465 | Max reward : 1411.1758090356516 | Time : 2.470844268798828'
 Episode : 24 | Reward -> 1228.7860616796725 | Max reward : 1524.809181193467 | Time : 4.337282419204712'
 Episode : 26 | Reward -> 614.9585576029211 | Max reward : 654.8013846432607 | Time : 4.441838979721069'
 Episode : 28 | Reward -> 482.4192784291698 | Max reward : 540.4269066011818 | Time : 4.48258900642395'
 Episode : 30 | Reward -> 804.4451886452025 | Max reward : 867.6472843692557 | Time : 4.861159324645996'
 Episode : 32 | Reward -> 646.3870355398481 | Max reward : 701.8800634740086 | Time : 4.407017707824707'
 Episode : 34 | Reward -> 739.6479276962261 | Max reward : 815.6345903622994 | Time : 4.571707487106323'
 Episode : 36 | Reward -> 779.185309634907 | Max reward : 1126.927726639441 | Time : 2.4628913402557373'
 Episode : 38 | Reward -> 805.2737027740176 | Max reward : 893.6478227428054 | Time : 4.509680986404419'
 Episode : 40 | Reward -> 899.590771457653 | Max reward : 1000.3738876556224 | Time : 3.3564746379852295'
 Episode : 42 | Reward -> 808.3514106657663 | Max reward : 898.3382754972841 | Time : 4.381167650222778'
 Episode : 44 | Reward -> 940.0282727882673 | Max reward : 1046.6400519046765 | Time : 3.6565113067626953'
 Episode : 46 | Reward -> 1410.010696571179 | Max reward : 1893.9776849915509 | Time : 4.552182197570801'
 Episode : 48 | Reward -> 864.7936682589553 | Max reward : 1151.9464124599908 | Time : 4.369267463684082'
 Episode : 50 | Reward -> 1039.2550549931684 | Max reward : 1097.0169497069296 | Time : 4.4498796463012695'
 Episode : 52 | Reward -> 1624.841019066336 | Max reward : 1802.341321291413 | Time : 4.338067531585693'
 Episode : 54 | Reward -> 1290.9550163923846 | Max reward : 1487.413401931368 | Time : 4.320427417755127'
 Episode : 56 | Reward -> 1385.625300202747 | Max reward : 1513.2727259503697 | Time : 4.415985107421875'
 Episode : 58 | Reward -> 1542.583378321829 | Max reward : 1728.734371558137 | Time : 4.15163254737854'
 Episode : 60 | Reward -> 1851.7666704305518 | Max reward : 1942.7994979927598 | Time : 4.072858572006226'
 Episode : 62 | Reward -> 2484.724662159685 | Max reward : 2522.007687104886 | Time : 4.1065919399261475'
 Episode : 64 | Reward -> 2527.0551590142995 | Max reward : 2539.6345922694845 | Time : 4.088272571563721'
 Episode : 66 | Reward -> 2473.675213390671 | Max reward : 2475.006418980502 | Time : 4.043260097503662'
 Episode : 68 | Reward -> 2162.872617845232 | Max reward : 2500.82013243998 | Time : 2.4601998329162598'
 Episode : 70 | Reward -> 2515.4350095575023 | Max reward : 2539.342059136363 | Time : 4.165238380432129'
 Episode : 72 | Reward -> 2527.852882544161 | Max reward : 2550.2294582012332 | Time : 4.076659202575684'
 Episode : 74 | Reward -> 2544.724283220333 | Max reward : 2599.443251079386 | Time : 3.957180976867676'
 Episode : 76 | Reward -> 2513.221274173783 | Max reward : 2535.291746304764 | Time : 4.018867015838623'
 Episode : 78 | Reward -> 2775.4138369165908 | Max reward : 2878.6227016842063 | Time : 4.025256633758545'
 Episode : 80 | Reward -> 2823.4354869576246 | Max reward : 2853.311353206125 | Time : 4.000181436538696'
 Episode : 82 | Reward -> 2871.634770344454 | Max reward : 2905.065147509114 | Time : 3.91391921043396'
 Episode : 84 | Reward -> 2861.2468931918356 | Max reward : 2868.1906208501305 | Time : 3.972376823425293'
 Episode : 86 | Reward -> 2831.773096802413 | Max reward : 2843.0410705651243 | Time : 3.9652020931243896'
 Episode : 88 | Reward -> 2857.274553288933 | Max reward : 2865.0866919947175 | Time : 3.8974671363830566'
 Episode : 90 | Reward -> 2927.735618972699 | Max reward : 2981.426836443097 | Time : 3.908944845199585'
 Episode : 92 | Reward -> 2984.167813336303 | Max reward : 2985.547597357257 | Time : 4.07693076133728'
 Episode : 94 | Reward -> 2985.45226058728 | Max reward : 2986.15425532123 | Time : 3.840470552444458'
 Episode : 96 | Reward -> 2982.1234854534014 | Max reward : 2983.8761080856575 | Time : 3.961116313934326'
 Episode : 98 | Reward -> 2976.653922621796 | Max reward : 2979.6668603034723 | Time : 3.811708688735962'
 Episode : 100 | Reward -> 2978.6387281908555 | Max reward : 2985.6077888339973 | Time : 3.902811050415039'
 Episode : 102 | Reward -> 2979.8274755726598 | Max reward : 2982.6196433184414 | Time : 3.8691558837890625'
 Episode : 104 | Reward -> 2966.1289718856087 | Max reward : 2971.9362304875945 | Time : 3.8135757446289062'
