
 Episode : 2 | Reward -> 1684.4180614034672 | Max reward : 1694.5723173241213 | Time : 4.379127502441406'
 Episode : 4 | Reward -> 1254.6956046494029 | Max reward : 1648.9450310602003 | Time : 2.4608678817749023'
 Episode : 6 | Reward -> 1135.8554057567724 | Max reward : 1162.93612894486 | Time : 2.4852285385131836'
 Episode : 8 | Reward -> 1093.5800144281752 | Max reward : 1283.6549295941938 | Time : 3.289641857147217'
 Episode : 10 | Reward -> 1635.5878756723046 | Max reward : 2334.4570627935286 | Time : 4.308063268661499'
 Episode : 12 | Reward -> 1171.8805032329103 | Max reward : 1183.3705450757295 | Time : 3.4131524562835693'
 Episode : 14 | Reward -> 1185.4841713038766 | Max reward : 1188.6082048226315 | Time : 3.19441556930542'
 Episode : 16 | Reward -> 1200.734640896241 | Max reward : 1234.0414900693017 | Time : 3.4965569972991943'
 Episode : 18 | Reward -> 1758.366286002144 | Max reward : 2062.864140175554 | Time : 3.3156542778015137'
 Episode : 20 | Reward -> 1846.8245733353117 | Max reward : 1902.2736590924312 | Time : 3.3918702602386475'
 Episode : 22 | Reward -> 1277.799702839884 | Max reward : 2148.1476440278416 | Time : 3.417945623397827'
 Episode : 24 | Reward -> 1974.315052184845 | Max reward : 2345.926760248355 | Time : 4.3376195430755615'
 Episode : 26 | Reward -> 1535.3740607539885 | Max reward : 1927.0246594134678 | Time : 3.2349603176116943'
 Episode : 28 | Reward -> 1852.7958838619788 | Max reward : 2151.6404328664426 | Time : 4.393791437149048'
 Episode : 30 | Reward -> 1837.225839670477 | Max reward : 2322.8183199900795 | Time : 3.5628347396850586'
 Episode : 32 | Reward -> 403.91724943024246 | Max reward : 408.54790667199694 | Time : 4.377220153808594'
 Episode : 34 | Reward -> 394.148046609727 | Max reward : 397.0853408474227 | Time : 4.389632225036621'
 Episode : 36 | Reward -> 1784.395158379115 | Max reward : 2181.174241454318 | Time : 3.536879539489746'
 Episode : 38 | Reward -> 1334.1161571672058 | Max reward : 1416.8523874356533 | Time : 3.4950878620147705'
 Episode : 40 | Reward -> 1848.5127958480134 | Max reward : 2306.8876780064816 | Time : 3.554304361343384'
 Episode : 42 | Reward -> 1487.6902304437554 | Max reward : 1585.4401580845586 | Time : 3.659281015396118'
 Episode : 44 | Reward -> 1725.8289119336837 | Max reward : 2040.3580114284782 | Time : 3.58681058883667'
 Episode : 46 | Reward -> 1377.0954226357176 | Max reward : 1414.37278683107 | Time : 3.3984391689300537'
 Episode : 48 | Reward -> 1793.4046600621089 | Max reward : 2050.4217202917703 | Time : 3.5526864528656006'
 Episode : 50 | Reward -> 1913.7286430643348 | Max reward : 2218.904180739721 | Time : 3.5582761764526367'
 Episode : 52 | Reward -> 1500.8970901723085 | Max reward : 2181.3498898791872 | Time : 4.3970420360565186'
 Episode : 54 | Reward -> 1942.9896019021044 | Max reward : 2505.6196475060974 | Time : 3.969932794570923'
 Episode : 56 | Reward -> 2444.6282539558943 | Max reward : 2459.529952086225 | Time : 3.924475908279419'
 Episode : 58 | Reward -> 2058.237919800531 | Max reward : 2302.562077657743 | Time : 3.7162065505981445'
 Episode : 60 | Reward -> 1946.6468172549526 | Max reward : 2076.7344359693884 | Time : 3.666611433029175'
 Episode : 62 | Reward -> 1799.08479267116 | Max reward : 2165.92177323136 | Time : 3.4468562602996826'
 Episode : 64 | Reward -> 2019.5694568853994 | Max reward : 2475.616524937086 | Time : 3.3844282627105713'
 Episode : 66 | Reward -> 2232.4610491307685 | Max reward : 2440.2400934539132 | Time : 3.9853806495666504'
 Episode : 68 | Reward -> 2434.2193454389608 | Max reward : 2455.539322177119 | Time : 3.8336422443389893'
 Episode : 70 | Reward -> 2213.5921246032385 | Max reward : 2334.56706246292 | Time : 3.6501572132110596'
