
 Episode : 2 | Reward -> 1003.1820011646616 | Max reward : 1381.0100456594391 | Time : 4.148633003234863'
 Episode : 4 | Reward -> 1417.6787770731173 | Max reward : 2124.827486913774 | Time : 4.441736698150635'
 Episode : 6 | Reward -> 871.2162421152934 | Max reward : 1279.5623836021964 | Time : 4.378109931945801'
 Episode : 8 | Reward -> 472.89029535818304 | Max reward : 498.63028751999565 | Time : 4.365956783294678'
 Episode : 10 | Reward -> 496.08309932811187 | Max reward : 519.1578867103711 | Time : 4.394077777862549'
 Episode : 12 | Reward -> 498.3369865949903 | Max reward : 499.60427100718937 | Time : 4.41001296043396'
 Episode : 14 | Reward -> 907.324418865874 | Max reward : 1282.5517236246105 | Time : 4.416833877563477'
 Episode : 16 | Reward -> 499.80282613281855 | Max reward : 506.1460692931743 | Time : 4.567900896072388'
 Episode : 18 | Reward -> 710.1656929977044 | Max reward : 729.5834652563425 | Time : 4.428657531738281'
 Episode : 20 | Reward -> 944.1614728266607 | Max reward : 1242.3271922669655 | Time : 4.4367547035217285'
 Episode : 22 | Reward -> 651.2149141872385 | Max reward : 766.0248245348731 | Time : 4.541624307632446'
 Episode : 24 | Reward -> 2337.4329716001334 | Max reward : 2979.9180180009853 | Time : 25.071860313415527'
 Episode : 26 | Reward -> 1857.5086710335422 | Max reward : 2443.0424058366466 | Time : 6.911816596984863'
 Episode : 28 | Reward -> 862.0652883852283 | Max reward : 887.2117899810811 | Time : 4.391396999359131'
 Episode : 30 | Reward -> 836.9488225587137 | Max reward : 865.6935084314317 | Time : 4.414275884628296'
 Episode : 32 | Reward -> 921.3264462663735 | Max reward : 1028.8937098217868 | Time : 4.392681121826172'
 Episode : 34 | Reward -> 1079.2706124737485 | Max reward : 1418.5496597200886 | Time : 4.392882585525513'
 Episode : 36 | Reward -> 1718.446048498316 | Max reward : 1739.133373802224 | Time : 4.38345742225647'
 Episode : 38 | Reward -> 2003.1916538822852 | Max reward : 2495.387101938185 | Time : 4.384056806564331'
 Episode : 40 | Reward -> 1816.813949426089 | Max reward : 1923.3900283348821 | Time : 4.399938583374023'
 Episode : 42 | Reward -> 2770.7174347377504 | Max reward : 2979.346140192519 | Time : 30.698203086853027'
 Episode : 44 | Reward -> 2983.9076182912795 | Max reward : 2984.1040195865276 | Time : 23.853453397750854'
 Episode : 46 | Reward -> 2982.0310775828893 | Max reward : 2982.676300855383 | Time : 31.93660068511963'
 Episode : 48 | Reward -> 2981.2334461978076 | Max reward : 2984.8209037358115 | Time : 138.55654525756836'
 Episode : 50 | Reward -> 2982.076503435815 | Max reward : 2982.3713516025255 | Time : 25.943617343902588'
 Episode : 52 | Reward -> 2983.1408837278786 | Max reward : 2984.0524265529225 | Time : 22.688746452331543'
 Episode : 54 | Reward -> 2980.5991772457164 | Max reward : 2983.1775180156037 | Time : 3.896044969558716'
 Episode : 56 | Reward -> 2979.6416810229434 | Max reward : 2982.6342237021845 | Time : 23.319742441177368'
 Episode : 2 | Reward -> 2148.2612224931754 | Max reward : 2969.847653207137 | Time : 2.4767935276031494'
 Episode : 4 | Reward -> 1275.7351916838766 | Max reward : 1496.960506806195 | Time : 2.4949123859405518'
 Episode : 6 | Reward -> 1737.9319282546298 | Max reward : 1962.7719803565753 | Time : 9.368965148925781'
 Episode : 8 | Reward -> 1880.5214699764929 | Max reward : 1969.2131998497064 | Time : 4.404359340667725'
 Episode : 10 | Reward -> 1315.0069555383495 | Max reward : 1420.6785668046894 | Time : 2.5044429302215576'
 Episode : 12 | Reward -> 1756.0315008044172 | Max reward : 2186.1359217815757 | Time : 2.4700818061828613'
 
 
